idorigin;_Origin;_OriginCityName;_OriginState
207;ELM;Elmira/Corning; NY
208;RIC;Richmond; VA
209;MBS;Saginaw/Bay City/Midland; MI
210;MQT;Marquette; MI
211;ABR;Aberdeen; SD
212;ESC;Escanaba; MI
213;BRD;Brainerd; MN
214;CIU;Sault Ste. Marie; MI
215;GFK;Grand Forks; ND
216;LSE;La Crosse; WI
217;SCE;State College; PA
218;CDC;Cedar City; UT
219;INL;International Falls; MN
220;APN;Alpena; MI
221;HIB;Hibbing; MN
222;PLN;Pellston; MI
223;RHI;Rhinelander; WI
224;IMT;Iron Mountain/Kingsfd; MI
225;PIH;Pocatello; ID
226;BJI;Bemidji; MN
227;LAN;Lansing; MI
228;PWM;Portland; ME
229;EKO;Elko; NV
230;TWF;Twin Falls; ID
231;BOS;Boston; MA
232;YKM;Yakima; WA
233;ANC;Anchorage; AK
234;FAI;Fairbanks; AK
235;PAE;Everett; WA
236;BLI;Bellingham; WA
237;PUW;Pullman; WA
238;ALW;Walla Walla; WA
239;AKN;King Salmon; AK
240;EAT;Wenatchee; WA
241;DLG;Dillingham; AK
242;ECP;Panama City; FL
243;FLL;Fort Lauderdale; FL
244;HNL;Honolulu; HI
245;ISP;Islip; NY
246;ITO;Hilo; HI
247;KOA;Kona; HI
248;LIH;Lihue; HI
249;MCO;Orlando; FL
250;MDW;Chicago; IL
251;MHT;Manchester; NH
252;MIA;Miami; FL
253;MYR;Myrtle Beach; SC
254;OGG;Kahului; HI
255;PBI;West Palm Beach/Palm Beach; FL
256;RSW;Fort Myers; FL
257;SJU;San Juan; PR
258;TPA;Tampa; FL
259;JFK;New York; NY
260;BGR;Bangor; ME
261;CHO;Charlottesville; VA
262;BQK;Brunswick; GA
263;SHV;Shreveport; LA
264;LFT;Lafayette; LA
265;CRW;Charleston/Dunbar; WV
266;OAJ;Jacksonville/Camp Lejeune; NC
267;ILM;Wilmington; NC
268;AGS;Augusta; GA
269;GSO;Greensboro/High Point; NC
270;AZO;Kalamazoo; MI
271;ABY;Albany; GA
272;DHN;Dothan; AL
273;ABE;Allentown/Bethlehem/Easton; PA
274;VLD;Valdosta; GA
275;EYW;Key West; FL
276;GNV;Gainesville; FL
277;AEX;Alexandria; LA
278;MLU;Monroe; LA
279;GTR;Columbus; MS
280;MGM;Montgomery; AL
281;GPT;Gulfport/Biloxi; MS
282;CWA;Mosinee; WI
283;BMI;Bloomington/Normal; IL
284;FAY;Fayetteville; NC
285;ITH;Ithaca/Cortland; NY
286;BGM;Binghamton; NY
287;ORH;Worcester; MA
288;STX;Christiansted; VI
289;STT;Charlotte Amalie; VI
290;DAB;Daytona Beach; FL
291;CAK;Akron; OH
292;PHF;Newport News/Williamsburg; VA
293;PGV;Greenville; NC
294;LYH;Lynchburg; VA
295;FLO;Florence; SC
296;HTS;Ashland; WV
297;ART;Watertown; NY
298;TLH;Tallahassee; FL
299;SBY;Salisbury; MD
300;ADQ;Kodiak; AK
301;BET;Bethel; AK
302;BRW;Barrow; AK
303;SCC;Deadhorse; AK
304;JNU;Juneau; AK
305;KTN;Ketchikan; AK
306;YAK;Yakutat; AK
307;CDV;Cordova; AK
308;SIT;Sitka; AK
309;PSG;Petersburg; AK
310;WRG;Wrangell; AK
311;OME;Nome; AK
312;OTZ;Kotzebue; AK
313;ADK;Adak Island; AK
314;BQN;Aguadilla; PR
315;PSE;Ponce; PR
316;MLB;Melbourne; FL
317;TTN;Trenton; NJ
318;SWF;Newburgh/Poughkeepsie; NY
319;ILG;Wilmington; DE
320;PGD;Punta Gorda; FL
321;SFB;Sanford; FL
322;PIE;St. Petersburg; FL
323;PSM;Portsmouth; NH
324;AZA;Phoenix; AZ
325;GRI;Grand Island; NE
326;IAG;Niagara Falls; NY
327;RFD;Rockford; IL
328;BLV;Belleville; IL
329;PVU;Provo; UT
330;USA;Concord; NC
331;SCK;Stockton; CA
332;OWB;Owensboro; KY
333;PIA;Peoria; IL
334;STC;St. Cloud; MN
335;LCK;Columbus; OH
336;TOL;Toledo; OH
337;HGR;Hagerstown; MD
338;SPI;Springfield; IL
339;OGD;Ogden; UT
340;SMX;Santa Maria; CA
341;PPG;Pago Pago; TT
342;ACY;Atlantic City; NJ
343;LBE;Latrobe; PA
344;ERI;Erie; PA
345;EWN;New Bern/Morehead/Beaufort; NC
346;HHH;Hilton Head; SC
347;GCK;Garden City; KS
348;GGG;Longview; TX
349;SPS;Wichita Falls; TX
350;CMI;Champaign/Urbana; IL
351;LAW;Lawton/Fort Sill; OK
352;ABI;Abilene; TX
353;TYR;Tyler; TX
354;GRK;Killeen; TX
355;DBQ;Dubuque; IA
356;SJT;San Angelo; TX
357;SWO;Stillwater; OK
358;ACT;Waco; TX
359;TXK;Texarkana; AR
360;ALO;Waterloo; IA
361;BPT;Beaumont/Port Arthur; TX
362;DRT;Del Rio; TX
363;GUM;Guam; TT
364;SPN;Saipan; TT
365;DIK;Dickinson; ND
366;LNK;Lincoln; NE
367;PQI;Presque Isle/Houlton; ME
