AirlineKey;AirlineId;Code;Description
125;125;8R;Edelweiss Air Ag
126;126;8V;Wright Air Service
127;127;9E;Endeavor Air Inc.
128;128;9J;Pacific Island Aviation
129;129;9K;Cape Air
130;130;9L;Colgan Air
131;131;9M;Central Mountain Air
132;132;9N;ANA & JP Express Co. Ltd.
133;133;9R;Flagship Express Services
134;134;9S;Southern Air Inc.
135;135;9T;TravelspanGT
136;136;9V;Avior Airlines
137;137;9W;Jet Airways (India) Limited
138;138;A0;Elysair d/b/a L'Avion
139;139;A2;Cielos De Peru
140;140;A4;Southern Wind Airlines
141;141;A7;Air Comet S.A.
142;142;A7 (1);Air 21
143;143;AA;American Airlines Inc.
144;144;AAA;Associated Aviation Act.
145;145;AAB;Antilles Air Boats Inc.
146;146;AAE;AAA Airlines
147;147;AAI;Audi Air Inc.
148;148;AAL;Argosy Air Lines Inc.
149;149;AAP;Armstrong Air Service Inc.
150;150;AAQ;Advance Air Charters
151;151;AAR;Altair Airlines Inc.
152;152;AAT;Air Sunshine Inc.
153;153;AAV;Alpine Air
154;154;AAZ;Alaska Aeronautical Indust.
155;155;AB;Air Berlin PLC and CO
156;156;ABH;Air Bahia
157;157;ABI;Airbama Incorporated
158;158;ABO;Aeronaves Boringuena Inc.
159;159;ABX;ABX Air
160;160;AC;Air Canada
161;161;ACA;Alaska Central Airways Inc.
162;162;ACD;Academy Airlines
163;163;ACG;Air Cargo Express Inc.
164;164;ACH;Island Airlines Hawaii Inc.
165;165;ACI;AAA-Action Air Carrier Inc.
166;166;ACJ;Atlantic Coast Jet Inc.
167;167;ACK;Air Central Inc.
168;168;ACL;Check-Air Inc.
169;169;ACN;Alliance Airlines
170;170;ACO;Air Cargo Enterprises Inc.
171;171;ACP;Air Chaparral Inc.
172;172;ACQ;Aeronautica De Cancun
173;173;ACS;Alamo Commuter Airlines
174;174;ACT;Air Central Inc. (1)
175;175;ACW;Transwest Air Express
176;176;AD;Avia Leasing Company
177;177;ADB;Antonov Company
178;178;ADQ;Aeronaves Del Peru
179;179;ADR;Adirondack Airlines
180;180;ADV;Advantage Airlines
181;181;AE;Air Europe Limited
182;182;AEC;Astec Air East Inc.
183;183;AED;Air East Of Delaware Inc.
184;184;AEF;Aero Freight
185;185;AEO;Aero Coach
186;186;AEQ;Air Caravane Inc.
187;187;AEX;Air Excursions LLC (1)
188;188;AF;Compagnie Natl Air France
189;189;AFA;American Flag Airlines Inc.
190;190;AFE;Air Florida Express
191;191;AFG;American Flight Group
192;192;AFQ;Aero B Venezuela C.A.
193;193;AFS;Arcata Flying Service
194;194;AGA;Air Cargo America Inc.
195;195;AGQ;Argo S. A.
196;196;AHA;Air Alpha
197;197;AHC;Air Hawaii
198;198;AHQ;Air National
199;199;AI;National Aviation Company of India Limited d/b/a Air India
200;200;AIA;All Island Air
201;201;AIC;Air Caribbean
202;202;AIE;Air Express Inc.
203;203;AIG;Airgo Inc.
204;204;AIK;Air Ketchum Idaho Inc.
205;205;AIM;Air Mont. Inc.
206;206;AIN;Air Indiana
207;207;AIQ;Norontair
208;208;AIT;Airways International
209;209;AIY;Alliance Air
210;210;AJ;Air Micronesia Inc.
211;211;AJQ;Aerodynamics Inc.
212;212;AKQ;Airmark Airlines Inc.
213;213;AL;Skyway Airlines
214;214;ALD;Allied Airlines
215;215;ALE;Air-Lift Associates Inc.
216;216;ALI;Brandt Air
217;217;ALK;Air Link Airways
218;218;ALL;All Seasons Air Pacific
219;219;ALQ;Alberta Northern Airlines
220;220;ALS;Air L.A.
221;221;ALT;Altus Airlines
222;222;ALU;Aleutian Air
223;223;ALX;Atlanta Express
224;224;AM;Aeromexico
225;225;AMA;North American Airlines Inc.
226;226;AME;Americair Inc.
227;227;AMI;American Inter-Island Inc.
228;228;AMQ;Ameristar Air Cargo
229;229;AMR;AvAir
230;230;AMT;American Air Transport
231;231;ANB;Air Nebraska Inc.
232;232;ANC;Atlantic Air
233;233;AND;Southcentral Air Inc.
234;234;ANI;Dash Air Corporation
235;235;ANM;Airways Of New Mexico Inc.
236;236;ANO;Metro Air Northeast Vermont
237;237;ANT;Air North/Nenana
238;238;AO;Aviacion Y Comercio S.A.
239;239;AOI;Trans New York
240;240;AON;Action Airlines
241;241;AOQ;Aerovias S.A.
242;242;AOR;Air New Orleans
243;243;APE;Air Cape
244;244;APH;Alpha Air
245;245;API;Arizona Pacific Inc.
246;246;APL;Appalachian Flying Service
247;247;APN;Aspen Airways Inc.
248;248;APQ;Alas De Transporte International
249;249;APS;Air Spirit Inc.
250;250;APY;Air Polynesia Inc.
251;251;AQQ;Air Charter (Safa)
252;252;AR;Aerolineas Argentinas
253;253;ARA;Air Resorts Airlines
254;254;ARB;Air Caribe International
255;255;ARD;Airlift International
256;256;ARI;Arizona Aero Corp.
257;257;ARM;Airmarc Airlines Inc.
258;258;ARN;Arnold Aviation
259;259;ARO;Air Oregon
260;260;ARP;Airspur Helicopters Inc.
261;261;ARQ;Aerovias Colombianas Arca
262;262;ARR;Arrowhead Airways Inc.
263;263;ARS;Air Sedona
264;264;ARZ;Arizona Airways
265;265;AS;Alaska Airlines Inc.
266;266;ASC;Air South Inc.
267;267;ASD;Amistad Airlines
268;268;ASH;Air South
269;269;ASI;Alpine Air Services Inc.
270;270;ASN;Air Casino
271;271;ASP;Asap Air Inc.
272;272;ASQ;Aerosur (1)
273;273;ASR;Astor Air
274;274;AST;Astro Airways
275;275;ASU;Air South (1)
276;276;ASW;Sunrise Airlines Inc.
277;277;AT;Royal Air Maroc
278;278;ATH;Air Southeast
279;279;ATN;Air Atlantic Airlines Inc.
280;280;ATO;Pacific National Airways
281;281;ATQ;Aero Tranportes Panamenos
282;282;ATS;Atlantis Airlines Inc.
283;283;ATT;Aerotransit Inc.
284;284;ATX;Air Carolina
285;285;AUX;Austin Express Inc.
286;286;AV;Aerovias Nacl De Colombia
287;287;AVA;Air Vectors Airways
288;288;AVC;Av Center Inc.
289;289;AVG;Airvantage
290;290;AVI;Aero Virgin Islands Corp.
291;291;AVL;Aviation Sales
292;292;AVQ;Aero Laguna S.A. De C.V.
293;293;AVR;Air Vermont Inc.
294;294;AVS;Aviation Services
295;295;AVZ;Southern Jersey Airways
296;296;AWA;Air West Airlines
297;297;AWQ;Aermediterranea S.P.A.
298;298;AX;Trans States Airlines
299;299;AXQ;Aeron International Airlines Inc.
300;300;AY;Finnair Oy
301;301;AYQ;Aerodan S.A. De C.V.
302;302;AZ;Compagnia Aerea Italiana
303;303;AZP;Arizona Pacific Airways
304;304;AZQ;Anglo Airlines Ltd.
305;305;B6;JetBlue Airways
306;306;BA;British Airways Plc
307;307;BAA;Aero International Airlines
308;308;BAC;Business Aircraft Corp.
309;309;BAH;Brennan & Hargreaves Inc.
310;310;BAK;Bankair Inc.
311;311;BAN;Bangor International Air
312;312;BAQ;Aero Rentas De Coahuila S.A. De C.V.
313;313;BAR;Bard-Air Corp.
314;314;BAT;West Penn Commuter
315;315;BAY;Burlington Aeroplane Co.
316;316;BBQ;Balair Ag
317;317;BC;Skymark Airlines Inc.
318;318;BCA;Baja Cortez Airlines
319;319;BCQ;Bradley Air Services Ltd.
320;320;BD;British Midland Airways Ltd.
321;321;BDE;Jet Express
322;322;BDQ;Aerotaxis De Aguascalientes S.A. De C.V.
323;323;BE;Braniff International Airlines Inc.
324;324;BEA;Business Express Airlines
325;325;BEN;Bennington Aviation Inc.
326;326;BEQ;Air Belgium
327;327;BES;Aeroservices Executive
328;328;BEY;Beyer Aviation
329;329;BF;Markair Inc.
330;330;BFG;Million Air
331;331;BFQ;Buffalo Airways Inc.
332;332;BG;Biman Bangladesh Airlines
333;333;BGQ;Airbus Transport Internat'l
334;334;BHK;Blackhawk Airways Inc.
335;335;BHO;Bighorn Airways Inc.
336;336;BHQ;Turks Air Ltd. (1)
337;337;BIA;Big Island Air
338;338;BIQ;Servicios Aeronauticos Z S.A. De C.V.
339;339;BIR;Birchwood Air Service
340;340;BJQ;Taxirey S.A. De C.V.
341;341;BLQ;Air Bvi Limited
342;342;BM;Belize Air International Ltd.
343;343;BMT;Bremerton Aviation Inc.
344;344;BN;Britannia Airways GmbH
345;345;BN (1);Braniff Inc.
346;346;BNQ;NetJets Large Aircraft Company L.L.C.
347;347;BOA;Boise Air Service
348;348;BOI;Bo-S-Aire Airlines Inc.
349;349;BOQ;Transp. Aereos Bolivianos
350;350;BQ;Aeromar C. Por A.
351;351;BR;Eva Airways Corporation
352;352;BR (1);Cal Air International Ltd.
353;353;BRK;Barken International
354;354;BRO;Brower Airways Inc.
355;355;BRW;Barrow Air
356;356;BTQ;Brasair Transportes Aereos
357;357;BUH;Business Helicopters
358;358;BUQ;Wrangler Aviation Inc.
359;359;BUQ (1);Blue Bell Inc.
360;360;BUR;Burlington Airways Inc.
361;361;BW;Caribbean Airlines Limited
362;362;BXQ;Spantax S. A.
363;363;BY;Britannia Airways Ltd.
364;364;BYA;Bay Air
365;365;BZQ;Abaco Air
366;366;C5;Commutair Aka Champlain Enterprises
367;367;C6;Canjet Airlines
368;368;C8;Cargolux Italia SpA
369;369;C8 (1);Chicago Express Airlines
370;370;CA;Air China
371;371;CAC;Coleman Air Transport
372;372;CAF;California Seaboard
373;373;CAI;Crawford Aviation Inc.
374;374;CAM;C & M Airlines
375;375;CAP;Metro Air Northeast N Y
376;376;CAQ;Challenge Air Luftverkehrs GmbH
377;377;CAT;Catalina Airlines Inc.
378;378;CAV;Air Virginia
379;379;CAZ;CAT Aviation
380;380;CB;Air One Inc.
381;381;CBA;Carriba Air Inc.
382;382;CC;Air Atlanta Icelandic
383;383;CC (1);Air Atlanta Inc.
384;384;CCA;Cityhop
385;385;CCO;Chester County Aviation
386;386;CDQ;Kitty Hawk International
387;387;CEN;Cen-Tex Airlines Inc.
388;388;CEQ;All Canada Express
389;389;CET;Century Airlines (Cal)
390;390;CF;Compan. De Aviacion Faucett
391;391;CGA;Chicago Airlines
392;392;CGL;Viking International Airlines Inc.
393;393;CGO;Chicago Air Taxi
394;394;CH;Bemidji Airlines
395;395;CHD;Chandler Flyer
396;396;CHE;Charter Airlines
397;397;CHF;Hammonds Commuter Air Serv.
398;398;CHI;Chitina Air Service
399;399;CHL;Channel Flying Inc.
400;400;CHO;Choi Aviation Inc.
401;401;CHS;Christman Air System
402;402;CHT;Charter One
403;403;CI;China Airlines Ltd.
404;404;CIQ;A/S Conair
405;405;CIS;Cal Sierra Airlines
406;406;CJ;Colgan Airways Inc.
407;407;CK;China Cargo Airline
408;408;CKI;Inlet Airlines
409;409;CL;Capitol International Inc.
410;410;CLB;Columbia Pacific Airlines
411;411;CLD;Hawaii Pacific Helicopters
412;412;CLF;California Air Shuttle
413;413;CLQ;Aero Transcolombiana
414;414;CM;Compania Panamena (Copa)
415;415;CMB;Combs Airways Inc.
416;416;CMD;Command Airways Inc.
417;417;CMQ;Servicio De Carga Aerea Sa
418;418;CMR;Commuter Airlines (Ca)
419;419;CNN;Centennial Airlines
420;420;CO;Continental Air Lines Inc.
421;421;COB;Cotton Belt Aviation Inc.
422;422;COC;Cochise Airlines Inc.
423;423;COK;Coker Aviation Inc.
424;424;COL;Presidential Express
425;425;COM;Commutair
426;426;COR;Coral Air Inc.
427;427;COS;Cosmopolitan Comm. Airline
428;428;COT;Southeastern Commuter
429;429;COU;Courtesy Air Service Inc.
430;430;CP;Compass Airlines
431;431;CP (1);Canadian Airlines International Ltd.
432;432;CPA;Capitol Air Lines
433;433;CPC;Coastal Plains Commuter Inc.
434;434;CPQ;Capitol Air Express Inc.
435;435;CPT;Capitol Air
436;436;CQI;Conquest Airline Corp.
437;437;CRA;Commuter Airlines
438;438;CRB;Caribair
439;439;CRE;Caribbean Express Inc.
440;440;CRH;Cresent Medivac
441;441;CRN;Crown Aviaiton Inc.
442;442;CRO;Crown Airways Inc.
443;443;CRP;Corporate Air
444;444;CRT;Crested Butte Air Service
445;445;CRV;Acropolis Aviation Ltd.
446;446;CS;Continental Micronesia
447;447;CSA;Casino Airlines
448;448;CSK;Catskill Airways Inc.
449;449;CSL;Central States Air Lines
450;450;CSM;Chisum Flying Service
451;451;CSN;Casino Airlines (1)
452;452;CSQ;Celtic Tech Jet Ltd.
453;453;CTA;Century Airlines
454;454;CTH;Cothron Aviation
455;455;CTL;Coastal Air Transport
456;456;CTQ;Custom Air Transport
457;457;CTR;Chartair
458;458;CUQ;Caicos Caribbean Airways
459;459;CUS;Custom Air Service
460;460;CV;Cargolux Airlines International S.A
461;461;CVA;Catalina-Vegas Airlines
462;462;CVQ;Caraven S.A.
463;463;CW;Air Marshall Islands Inc.
464;464;CWQ;Canadian Aviation Express
465;465;CX;Cathay Pacific Airways Ltd.
466;466;CYQ;Corse Air International
467;467;CZ;China Southern Airlines
468;468;CZ (1);Cascade Airways Inc.
469;469;CZQ;Aviation Concepts
470;470;DA;Dan Air Services
471;471;DAN;Danbury Airlines
472;472;DAU;Dauphin Island Airways
473;473;DC;Caribbean Air Cargo Co Ltd.
474;474;DE;Condor Flugdienst
475;475;DEA;Downeast Airlines Inc.
476;476;DEC;Decatur Aviation
477;477;DFS;Downeast Flying Service
478;478;DH;Independence Air
479;479;DH (1);Discovery Airways Inc.
480;480;DHL;DHL Airlines Inc.
481;481;DHQ;DHL Aero Expresso
482;482;DIA;Drummond Island Air
483;483;DIC;Dickman Aviation Services
484;484;DIR;Northern Star
485;485;DL;Delta Air Lines Inc.
486;486;DM;Maersk Air I/S
487;487;DO;Compania Dominicana De Avia
488;488;DOL;Dolphin Airways Inc.
489;489;DOQ;Aerolineas Dominicanas S A
490;490;DPA;Desert Pacific Airways
491;491;DPI;Desert Pacific Airlines Inc.
492;492;DQQ;Caribwest Airways Ltd.
493;493;DSA;Desert Sun Airlines
494;494;DST;Desert Airlines
495;495;DUL;Dulles Express
496;496;DUZ;Summit Airlines Inc.
497;497;DVO;Devoe Airlines
498;498;DWN;Dawn Air
499;499;DXA;Dolphin Express
500;500;DY;Norwegian Air Shuttle ASA
501;501;E0;EOS Airlines
502;502;E7;Estafeta Carga Aereas
503;503;E72;European Aviation Air Charter
504;504;E8;USAfrica Airways Inc.
505;505;E9;Boston-Maine Airways
506;506;EA;Eastern Air Lines Inc.
507;507;EAI;Executive Aviation Inc.
508;508;EAQ;Executive Airlines
509;509;EAS;Eastern Caribbean Airways
510;510;EAT;Eastman Airways Inc.
511;511;EBQ;Execaire Aviation Ltd.
512;512;ECA;Eagle Airlines (1)
513;513;ECI;Eastern Carolina Aviation
514;514;ECL;Eclipse Airlines
515;515;ECQ;Trans American Charter
516;516;ECR;East Coast Airways
517;517;ED;Andes
518;518;EDE;Ede Aire
519;519;EET;Exec Express II
520;520;EEX;Exec Express
521;521;EEZ;Eagle Aviation Inc.
522;522;EFA;Executive Four Winds
523;523;EFQ;Trans Europ. Airways France
524;524;EGA;Eagle Airline
525;525;EGJ;Eagle Jet Charter
526;526;EGL;Eagle Commuter Airlines Inc.
527;527;EH;Saeta Airlines
528;528;EHA;East Hampton Aire Inc.
529;529;EI;Aer Lingus Plc
530;530;EIA;East. Indiana Aviation Sale
531;531;EJQ;Aeroejecutivos C.A.
532;532;EK;Emirates
533;533;EKA;Air Pacific Inc.
534;534;ELL;Ellis Air Taxi Inc.
535;535;EM;Empire Airlines Inc.
536;536;EMA;Emerald Airlines
537;537;EME;Metro Express
538;538;EMP;Empire Airlines Inc. (2)
539;539;ENT;Enterprise Airlines Inc.
540;540;EOQ;Aeroservicios Ecuatorianos
541;541;EP;All Star Airlines Inc.
542;542;EQ;Tame Linea Aerea del Ecuador Tme EP
543;543;ER;Astar USA
544;544;ERI;Erie Airways Inc.
545;545;ERO;Empire Aero Service
546;546;ERQ;Aero Trades (Western) Ltd.
547;547;ESQ;Seagreen Air Transport
548;548;ET;Ethiopian Airlines
549;549;EU;Ecuatoriana De Aviacion
550;550;EUQ;Air Atlanta Europe
551;551;EV;ExpressJet Airlines Inc.
552;552;EVA;Evanston Aviation
553;553;EWA;Rio Grande Air
554;554;EXA;Columbia Pacific Airlines (1)
555;555;EXC;Hapag-Lloyd Executive GmbH
556;556;EXC (1);Executive Charter
557;557;EXP;Express Airlines II
558;558;EXQ;Export Air Del Peru S.A.
559;559;EXR;Executive Transport
560;560;EY;Etihad Airways
561;561;EZ;Evergreen International Inc.
562;562;F2;Omega Air Holdings d/b/a Focus Air
563;563;F8;Freedom Airlines d/b/a HP Expr
564;564;F9;Frontier Airlines Inc.
565;565;FAA;Falwell Aviation Inc.
566;566;FAC;Falcon Airways Inc.
567;567;FAQ;Fast Air Carrier Ltd. (1)
568;568;FAR;Federal Armored Service Inc.
569;569;FB;Translift Airways Limited
570;570;FBI;Young Flying Service
571;571;FCA;Southern Airlines Inc.
572;572;FCQ;Falcon Air Express
573;573;FD;Air Puerto Rico Airlines
574;574;FDA;Florida Airlines Inc.
575;575;FDM;Freedom Airlines Inc.
576;576;FDQ;Great American Airways
577;577;FE;Primaris Airlines Inc.
578;578;FF;Tower Air Inc.
579;579;FFQ;Five Star Airlines
580;580;FH;Frontier Horizon Inc.
581;581;FI;Icelandair
582;582;FJ;Air Pacific Ltd.
583;583;FJ (1);Air Pacific Ltd. (1)
584;584;FL;AirTran Airways Corporation
585;585;FL (1);Frontier Airlines Inc. (1)
586;586;FLA;Florida Air
587;587;FLM;Flamenco Airways Inc.
588;588;FLR;Flirite Inc.
589;589;FNQ;Fine Airlines Inc.
590;590;FOR;Ford-Aire Inc.
591;591;FOS;Foster Aviation
592;592;FP;TAG Aviation S.A.
593;593;FQ;Air Aruba
594;594;FRA;Freedom Air
595;595;FRS;Four Star Aviation
596;596;FRT;Frontier Commuter
597;597;FRW;Farwest Airlines
598;598;FS;Serv De Trans Aereos Fuegui
599;599;FSA;F.S. Air Service
600;600;FT;Flying Tiger Line Inc.
601;601;FTI;Southern Airways
602;602;FVA;Skycraft Inc.
603;603;FW;Skybus Inc.
604;604;FWA;Far West Airlines
605;605;FX;Federal Express Corporation
606;606;FYB;Flying Boat
607;607;G3;VRG Linhas Aereas S A
608;608;G3 (1);Aerochago S.A.
609;609;G4;Allegiant Air
610;610;G7;GoJet Airlines
611;611;GA;P.T. Garuda Indonesian Arwy
612;612;GAL;Galena Air Service
613;613;GAQ;Galaxy Airlines Inc.
614;614;GAS;General Aviation Inc.
615;615;GAT;Gulf Air Taxi
616;616;GAV;Gromer Aviation Inc.
617;617;GBA;Central States Airline
618;618;GBQ;G5 Executive Ag
619;619;GCA;Golden Carriage Aire
620;620;GCH;Grand Canyon Helicopters
621;621;GCQ;General Air Cargo
622;622;GCS;Midway Commuter
623;623;GD;Transp. Aereos Ejecutivos
624;624;GDW;Golden West Airlines Inc.
625;625;GE;Lufthansa Cargo Airlines
626;626;GF;Gulf Air Company
627;627;GF (1);Gulf Air Transport Inc.
628;628;GFC;Gulf Flite Center
629;629;GFQ;Gulf And Caribbean Cargo
630;630;GG;Cargo 360
631;631;GG (1);Tropical Airways Inc.
632;632;GG (2);Grenada Airways Ltd.
633;633;GH;Ghana Airways Corporation
634;634;GHA;Green Hills Aviation Ltd.
635;635;GIQ;Global International Airways Corp.
636;636;GJ;Eurofly S.p.A
637;637;GJ (1);Mexicargo
638;638;GKQ;Laker Airways
639;639;GL;Miami Air International
640;640;GLW;Golden West Airlines Co.
641;641;GM;Air America
642;642;GMA;Green Mountain Airlines Ltd.
643;643;GOF;Copper State Airlines
644;644;GPA;GP Express Airlines
645;645;GQ;Big Sky Airlines Inc.
646;646;GR;Gemini Air Cargo Airways
647;647;GRA;Gorda Aero Service
648;648;GRD;Grand Canyon Airlines
649;649;GRO;Isle Royale Seaplane Serv.
650;650;GS;Air Foyle Limited
651;651;GSA;Golden Gate Airlines Inc.
652;652;GSC;GCS Air Service
653;653;GSL;Golden South Airlines Inc.
654;654;GSQ;Global Supply System
655;655;GST;Golden State Airlines
656;656;GU;Aviateca
657;657;GUL;Gull Air Inc.
658;658;GUN;Gunnel Aviation Inc.
659;659;GV;Grant Aviation
660;660;GW;Central American Airlines
661;661;GWA;Great Western Aviation
662;662;GWE;Ross Aviation Inc.
663;663;GX;Air Ontario Limited
664;664;GY;Guyana Airways Corporation
665;665;H2;City Bird
666;666;H5;Magadan Airlines
667;667;H6;Hageland Aviation Service
668;668;HA;Hawaiian Airlines Inc.
669;669;HAQ;Hapag Lloyd Flug.
670;670;HAR;Friendship Air Alaska
671;671;HB;Homer Air
672;672;HB (1);Air Club International
673;673;HBQ;Harris Air Services
674;674;HCQ;Av Atlantic
675;675;HEL;Helitrans
676;676;HEP;Hub Express
677;677;HER;Markair Express
678;678;HET;Helitac Aviation
679;679;HEU;Heussler Air Service Corp
680;680;HFQ;Haiti Air Freight Intl
681;681;HFS;Hensley Flying Service Inc.
682;682;HIQ;Business Flights Ltd.
683;683;HJ;Air Haiti S. A.
684;684;HK;Time Air Sweden Ab
685;685;HLQ;Heavylift Cargo Airlines Lt
686;686;HMZ;Long Island Airlines
687;687;HNS;Haines Airways
688;688;HOL;Holiday Airlines Inc.
689;689;HOQ;Holidair Airways
690;690;HOR;Iowa Airlines
691;691;HP;America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)
692;692;HPZ;Pacific Coast Airlines
693;693;HQ;Harmony Airways
694;694;HQ (1);Business Express
695;695;HQQ;Harlequin Air Corporation
696;696;HRA;Trans-National Airlines Haw
697;697;HRG;Heritage Airlines
698;698;HRQ;Tar Airlines
699;699;HRZ;Allegheny Airlines
700;700;HSV;Harbor Air Service
701;701;HSZ;Scenic Airlines Inc.
702;702;HU;Hainan Airlines Company Limited
703;703;HUB;Skystream Airlines
704;704;HVQ;Transavia Holland B. V.
705;705;HWK;Hawking Corporation
706;706;HX;Guy-America Airways Inc.
707;707;HY;Uzbekistan Airways
708;708;HYA;Hyannis Aviation
709;709;IA;Iraqi Airways
710;710;IB;Iberia Air Lines Of Spain
711;711;ICF;Iowa City Flying Service
712;712;ICH;Island Air Charters
713;713;ICQ;Iscargo Hf
714;714;IDQ;Intl Air Service Co. Ltd.
715;715;IEX;Island Air Express
716;716;IG;Meridiana S.p.A
717;717;IGA;Global Jet Austria
718;718;III;Idee Industries Inc.
719;719;IJ;Great Wall Airlines Company Limited
720;720;IKQ;Tradewinds Airways Ltd.
721;721;IMP;Imperial Airlines Inc.
722;722;IN;Aerlinte Eireann Teoranta
723;723;INA;Inland Empire Airlines Inc.
724;724;IND;Indiana Airways Inc. (Pa)
725;725;INQ;Independent Air Inc.
726;726;IOW;Iowa Airways
727;727;IPI;Indo-Pacific International
728;728;IPQ;Aruba Cargo
729;729;IPS;Island Express
730;730;IR;Iran National Airlines Corp
731;731;IRQ;Interstate Airlines Inc.
732;732;ISL;Island Airlines
733;733;ITQ;Interamericana De Aviacion
734;734;IW;Air Liberte Aka Aom Minerve
735;735;IW (1);Best Airlines Inc.
736;736;IXQ;Inair
737;737;J5;Alaska Seaplane Service
738;738;J6;Larrys Flying Service
739;739;J7;Valujet Airlines Inc.
740;740;JAG;JetAlliance Flugbetriebs d/b/a JAF Airservice
741;741;JAM;Sunbelt Airlines Inc.
742;742;JAQ;Jamaica Air Freighters
743;743;JB;Helijet International Inc.
744;744;JCM;Air Chico
745;745;JCQ;Jet Connection Businessflight Ag
746;746;JCZ;Rocky Mountain Airways Inc.
747;747;JD;Japan Air System Co. Ltd.
748;748;JER;Jer-Don Air
749;749;JF;L.A.B. Flying Service Inc.
750;750;JI;Jade Cargo International
751;751;JI (1);Midway Airlines Inc.
752;752;JIQ;Jet Fleet Intl. Airlines
753;753;JJ;Transportes Aeros Meridiona
754;754;JK;Spanair S.A.
755;755;JK (1);Sunworld International Airways Inc.
756;756;JKQ;Express One International Inc.
757;757;JL;Japan Air Lines Co. Ltd.
758;758;JM;Air Jamaica Limited
759;759;JMA;Jim Air Inc.
760;760;JN;Excel Airways
761;761;JO;Jalways Co. Ltd.
762;762;JQ;Jetstar Airways Pty Limited
763;763;JR;Aero California
764;764;JTA;Jetaire Airlines Inc.
765;765;JU;Yugoslav Airlines
766;766;JW;Arrow Air Inc.
767;767;JX;Southeast Airlines
768;768;JX (1);Jes Air Ltd.
769;769;JXQ;Allarco Developments Ltd.
770;770;JZ;Japan Air Charter Co. Ltd.
771;771;K3;Venture Travel LLC d/b/a Taquan Air Service
772;772;K5;SeaPort Airlines
773;773;K7;Arizona Express
774;774;K8;Caribbean Sun Airlines
775;775;K8 (1);Dutch Caribbean Airlines
776;776;KA;Hong Kong Dragonair
777;777;KAH;Kenmore Air Harbor
778;778;KAI;Knight Airlines Inc.
779;779;KAQ;Kalitta Air LLC
780;780;KAT;Katmai Air
781;781;KB;Haiti Air
782;782;KE;Korean Air Lines Co. Ltd.
783;783;KEA;Keene Airways
784;784;KEE;Key Airlines
785;785;KET;Ketchikan Air Service
786;786;KFS;King Flying Service
787;787;KH;Aloha Air Cargo
788;788;KI;Time Air Ltd.
789;789;KIN;Golden Pacific Airlines
790;790;KKQ;Transmeridian Air Cargo Ltd.
791;791;KL;Klm Royal Dutch Airlines
792;792;KLQ;Kalitta Charters II
793;793;KM;Air Malta
794;794;KN;Morris Air Corporation
795;795;KO;Alaska Central Express
796;796;KOD;Kodiak Airways Inc.
797;797;KP;Kiwi International
798;798;KR;Kitty Hawk Aircargo
799;799;KR (1);Kar-Air Oy
800;800;KS;Peninsula Airways Inc.
801;801;KTQ;Turks Air Ltd.
802;802;KU;Kuwait Airways Corp.
803;803;KW;Carnival Air Lines Inc.
804;804;KWQ;Kelowna Flightcraft Air Cha
805;805;KWZ;Crown Air
806;806;KX;Cayman Airways Limited
807;807;KXZ;Chaparral Airlines Inc.
808;808;KZ;Nippon Cargo Airlines
809;809;L2;Lynden Air Cargo Airlines
810;810;L3;Lynx Aviation d/b/a Frontier Airlines
811;811;L7;Lan Colombia
812;812;LA;Lan-Chile Airlines
813;813;LAA;La Skycab Airline
814;814;LAH;La Helicopter
815;815;LAN;Lancer Aviation Inc.
816;816;LAP;Lapsa
817;817;LAR;Laredo Air
818;818;LAS;Lake Union Air Service
819;819;LAW;Lawrence Aviation
820;820;LB;Lloyd Aereo Boliviano S. A.
821;821;LBQ;Millon Air Inc.
822;822;LC;Varig Logistica S/A
823;823;LC (1);Lineas Aereas Del Caribe
824;824;LC (2);Legend Airlines
825;825;LCQ;Latcr
826;826;LCT;Lake Coastal
827;827;LEQ;Le Point Air
828;828;LEX;L'Express
829;829;LF;Jettrain Airlines
830;830;LG;Luxair
831;831;LGQ;Lineas Aereas Allegro
832;832;LH;Lufthansa German Airlines
833;833;LHA;Havasu Airlines
834;834;LIQ;Liat (1974) Limited
835;835;LJ;Jin Air Co Ltd.
836;836;LKN;Loken Aviation
837;837;LLA;Lakeland Aviation
838;838;LNQ;Aerolineas Latinas
839;839;LO;Polskie Linie Lotnicze
840;840;LOQ;Lorair Ltd.
841;841;LOS;Aero Commuter
842;842;LP;Lan Peru Airlines
843;843;LP (1);The Hawaii Express Inc.
844;844;LR;Lacsa
845;845;LRQ;Air Liberte
846;846;LSQ;Lineas Aereas Suramerican
847;847;LSZ;Alaska Island Air Inc.
848;848;LT;Luftransport-Unternehmen
849;849;LU;Air Atlantic Dominicana
850;850;LUQ;Lineas Aereas La-Tur Sa
851;851;LVA;Las Vegas Airlines
852;852;LW;Pacific Wings Airlines
853;853;LX;Swiss International Airlines
854;854;LXQ;Translux Intl Airlines
855;855;LY;El Al Israel Airlines Ltd.
856;856;LZ;Balkan Bulgarian Airlines
857;857;LZQ;Leisure International Airways Ltd.
858;858;M3;ABSA-Aerolinhas Brasileiras
859;859;M6;Amerijet International
860;860;M7;Aerotransportes Mas De Crga
861;861;MA;Malev Hungarian Airlines
862;862;MAA;Maui Airlines
863;863;MAC;Mackey International Inc.
