AirlineKey;AirlineId;Code;Description
1206;1206;SER;Service Aviation Inc.
1207;1207;SFI;Stahmannfarms Inc.
1208;1208;SFO;Sfo Helicopter Airlines Inc.
1209;1209;SFQ;Pacific International Airlines Inc.
1210;1210;SFQ (1);Southern Frontier Air Trans
1211;1211;SFS;Sierra Flite Service Inc.
1212;1212;SG;Jetsgo
1213;1213;SH;Servicio Aereo De Honduras
1214;1214;SHS;Shasta Air Inc.
1215;1215;SHV;Shavano Air Inc.
1216;1216;SI;Sierra Pacific Airlines
1217;1217;SI (1);Jet America Airlines Inc.
1218;1218;SIA;Silver State Airlines
1219;1219;SIQ;Premiair
1220;1220;SIQ (1);Scanair
1221;1221;SJA;San Juan Airlines Inc.
1222;1222;SJQ;Skycharter (Malton) Ltd.
1223;1223;SK;Scandinavian Airlines Sys.
1224;1224;SKI;Sunbird Inc.
1225;1225;SKJ;Sky-Jet
1226;1226;SKL;Bas Airlines
1227;1227;SKM;Scheduled Skyways
1228;1228;SKS;Silver Kris Services Ltd.
1229;1229;SKT;Skytrain
1230;1230;SLO;Slocum Air Inc.
1231;1231;SLQ;Sky King Inc.
1232;1232;SLR;Salair
1233;1233;SLZ;Southeast Airlines Inc.
1234;1234;SM;Sunworld International Airlines
1235;1235;SMC;Stopher Mechanical Inc.
1236;1236;SMO;Samoa Aviation Inc.
1237;1237;SMQ;Serv. Aerolineas Mexicanas
1238;1238;SN;Brussels Airlines N.V.
1239;1239;SN (1);Sabena Belgian World Air.
1240;1240;SNA;Aviation Associates
1241;1241;SNB;Ccair
1242;1242;SNC;Gelco Courier Services Inc.
1243;1243;SNE;Shawnee Airlines
1244;1244;SNK;Spernak Airways Inc.
1245;1245;SNV;Sierra Nevada Airways
1246;1246;SO;Swiss World Airways
1247;1247;SOA;Mall Airways Inc.
1248;1248;SOE;Sky One Express
1249;1249;SOL;Soonair Lines Inc.
1250;1250;SOP;South Pacific Island Airway
1251;1251;SPF;Springfield Air Service
1252;1252;SPG;Springdale Air
1253;1253;SPH;Spirit Helicopter
1254;1254;SPQ;Sun Pacific International
1255;1255;SPR;Sportsman Flying Service
1256;1256;SQ;Singapore Airlines Ltd.
1257;1257;SR;Swissair Transport Co. Ltd.
1258;1258;SRA;Star Aviation
1259;1259;SRL;Sterling Air Service
1260;1260;SS;Corsair International
1261;1261;SSA;S. S. Airways Inc.
1262;1262;SSP;Southern Seaplane
1263;1263;SSQ;Superior Airways Limited
1264;1264;SSS;Sierra Express Inc.
1265;1265;SST;Seaplane Shuttle Transport
1266;1266;ST;Belize Airways Limited
1267;1267;STA;State Airlines Inc.
1268;1268;STF;Trans East International
1269;1269;STG;Sedalia Marshall Boonvl Stg
1270;1270;STQ;Skycraft Air Transport Inc.
1271;1271;STR;Star Aviation Corporation
1272;1272;STW;Stateswest Airlines
1273;1273;STZ;Air America Inc.
1274;1274;SU;Aeroflot Russian Airlines
1275;1275;SUA;Sunshine Airlines
1276;1276;SUI;Sun International Airways
1277;1277;SUT;Sunbelt
1278;1278;SUX;Sunair Express LLC
1279;1279;SV;Saudi Arabian Airlines Corp
1280;1280;SVL;Sun Valley Airlines
1281;1281;SVW;Global Jet Luxembourg
1282;1282;SWA;Sunwest Airlines
1283;1283;SWT;Swift Aire Lines Inc.
1284;1284;SX;Skybus Airlines
1285;1285;SX (1);Aeroejecutivo S.A.
1286;1286;SXP;Sierra Expressway
1287;1287;SY;Sun Country Airlines d/b/a MN Airlines
1288;1288;SYB;Skybus Express Airlines
1289;1289;SYM;Skymaster
1290;1290;SZQ;Aerolineas El Salvador S A
1291;1291;T3;Tristar Airlines Inc.
1292;1292;T9;TransMeridian Airlines
1293;1293;TA;Taca International Airlines
1294;1294;TAC;Air Colorado
1295;1295;TAF;Tri Air Freight
1296;1296;TAL;Tejas Airlines Inc.
1297;1297;TAQ;Taquan Air Service
1298;1298;TAS;Yosemite Airlines Inc.
1299;1299;TAT;Talarik Creek Air Taxi
1300;1300;TB;TUI Airlines Belgium N.V. d/b/a Jetairfly
1301;1301;TB (1);USAir Shuttle
1302;1302;TBQ;Triair Bermuda Flt Operations
1303;1303;TCA;Trans Catalina Airlines
1304;1304;TCE;Oceanair Line
1305;1305;TCI;Trans California Airlines
1306;1306;TCL;Trans-Central Airlines Inc.
1307;1307;TCO;Trans-Colorado Airlines
1308;1308;TCQ;Express.Net Airlines
1309;1309;TDQ;Venexcargo
1310;1310;TDQ (1);Transcarga
1311;1311;TEN;Tennessee Airways Inc.
