DestinationKey;DestinationAirpotId;Destination;DestinationCityName;DestinationState
183;183;31150;CSG;Columbus
184;184;31695;FLG;Flagstaff
185;185;32575;LGB;Long Beach
186;186;32448;JAN;Jackson/Vicksburg
187;187;35323;TRI;Bristol/Johnson City/Kingsport
188;188;32070;MDT;Harrisburg
189;189;33785;YUM;Yuma
190;190;33038;LRD;Laredo
191;191;31612;EVV;Evansville
192;192;34576;ROC;Rochester
193;193;31703;EWR;Newark
194;194;34524;RIC;Richmond
195;195;30868;CAE;Columbia
196;196;30852;BWI;Baltimore
197;197;31049;CLL;College Station/Bryan
198;198;31453;HOU;Houston
199;199;30792;BUF;Buffalo
200;200;31267;DAY;Dayton
201;201;30194;DAL;Dallas
202;202;32457;OAK;Oakland
203;203;33486;MSO;Missoula
204;204;30529;BDL;Hartford
205;205;31337;DLH;Duluth
206;206;31537;ELM;Elmira/Corning
207;207;33184;MBS;Saginaw/Bay City/Midland
208;208;31587;ESC;Escanaba
209;209;30333;APN;Alpena
210;210;33076;LSE;La Crosse
211;211;34150;PLN;Pellston
212;212;31898;GFK;Grand Forks
213;213;34711;SCE;State College
214;214;33459;MQT;Marquette
215;215;32129;HIB;Hibbing
216;216;30631;BJI;Bemidji
217;217;30918;CDC;Cedar City
218;218;34113;PIH;Pocatello
219;219;32335;IMT;Iron Mountain/Kingsfd
220;220;32343;INL;International Falls
221;221;34100;PHL;Philadelphia
222;222;35389;TWF;Twin Falls
223;223;30141;ABR;Aberdeen
224;224;30739;BRD;Brainerd
225;225;34321;PWM;Portland
226;226;31525;EKO;Elko
227;227;34520;RHI;Rhinelander
228;228;31013;CIU;Sault Ste. Marie
229;229;32884;LAN;Lansing
230;230;33728;PNS;Pensacola
231;231;36101;YKM;Yakima
232;232;31517;FAI;Fairbanks
233;233;30299;ANC;Anchorage
234;234;34004;PAE;Everett
235;235;30275;ALW;Walla Walla
236;236;30245;AKN;King Salmon
237;237;34303;PUW;Pullman
238;238;31470;EAT;Wenatchee
239;239;31336;DLG;Dillingham
240;240;30666;BLI;Bellingham
241;241;30977;MDW;Chicago
242;242;31454;MCO;Orlando
243;243;31481;ECP;Panama City
244;244;32467;FLL;Fort Lauderdale
245;245;32467;MIA;Miami
246;246;31135;MYR;Myrtle Beach
247;247;34027;PBI;West Palm Beach/Palm Beach
248;248;34492;RDU;Raleigh/Durham
249;249;31714;RSW;Fort Myers
250;250;33195;TPA;Tampa
251;251;31703;ISP;Islip
252;252;30721;MHT;Manchester
253;253;34819;SJU;San Juan
254;254;32402;ITO;Hilo
255;255;32758;KOA;Kona
256;256;32982;LIH;Lihue
257;257;33830;OGG;Kahului
258;258;32134;HNL;Honolulu
259;259;31703;JFK;New York
260;260;30990;CHO;Charlottesville
261;261;30731;BQK;Brunswick
262;262;30476;SHV;Shreveport
263;263;35550;VLD;Valdosta
264;264;33795;OAJ;Jacksonville/Camp Lejeune
265;265;30685;BMI;Bloomington/Normal
266;266;32323;ILM;Wilmington
267;267;31624;EYW;Key West
268;268;32951;LFT;Lafayette
269;269;31146;CRW;Charleston/Dunbar
270;270;30469;AZO;Kalamazoo
271;271;30146;ABY;Albany
272;272;31308;DHN;Dothan
273;273;30424;CWA;Mosinee
274;274;30208;AGS;Augusta
275;275;30135;ABE;Allentown/Bethlehem/Easton
276;276;31995;GSO;Greensboro/High Point
277;277;30185;AEX;Alexandria
278;278;33377;MLU;Monroe
279;279;31953;GNV;Gainesville
280;280;30894;GTR;Columbus
281;281;33277;MGM;Montgomery
282;282;31973;GPT;Gulfport/Biloxi
